Measure,sex,Age,Year,No. of deaths,Upper bound,Lower Bound
Deaths,Female,20-24,2007,80.95501458122988,129.3525027274186,46.94128605858113
Deaths,Male,25-29,2007,87.01338696378717,115.24423842589977,60.16448382831784
Deaths,Female,25-29,2007,43.56924810618312,71.67896939593263,24.94421461281531
Deaths,Male,30-34,2007,208.78300461234983,272.65020619029144,147.55831162832268
Deaths,Female,30-34,2007,150.0805652306093,237.3658997001109,92.11529222121294
Deaths,Male,35-39,2007,412.6175345038041,553.7780080180305,299.07053818631255
Deaths,Female,35-39,2007,187.21062974313827,280.92702089563863,113.8707326014234
Deaths,Male,40-44,2007,718.0249948187818,992.8267704203024,490.3549644021751
Deaths,Female,40-44,2007,336.9294362984951,489.1746767021377,212.9380450600636
Deaths,Male,45-49,2007,1032.2934731632204,1459.791202445188,717.2542746531255
Deaths,Female,45-49,2007,660.4429955147878,973.728091857066,422.2050678631722
Deaths,Male,50-54,2007,1545.1501337299237,2190.3761534518326,1005.175620018082
Deaths,Female,50-54,2007,994.8257395333164,1447.9382439628168,654.6712065314953
Deaths,Male,55-59,2007,2066.99847407157,2929.391240477796,1347.1648123215732
Deaths,Female,55-59,2007,1192.7247806987637,1723.1021849405993,792.3697774484149
Deaths,Male,60-64,2007,2578.2119444214454,3624.0172233170047,1716.400497428797
Deaths,Female,60-64,2007,1870.0831513001376,2643.8596016936763,1291.9644054934788
Deaths,Male,65-69,2007,3693.532471378231,5049.331926497961,2516.614724721077
Deaths,Female,65-69,2007,2651.3508363745523,3653.054477616178,1918.5839986812089
Deaths,Male,70-74,2007,4042.714722250416,5485.503475029827,2804.04313430454
Deaths,Female,70-74,2007,3030.0592979660723,3968.199838273237,2247.013973863418
